S.No,Category,Context,English,Tamil,Source,File Location
1,Common UI,Loading state,Loading...,ஏற்றுகிறது...,Frontend,src/core/i18n/translations.ts
2,Common UI,Error message,Error,பிழை,Frontend,src/core/i18n/translations.ts
3,Common UI,Success message,Success,வெற்றி,Frontend,src/core/i18n/translations.ts
4,Common UI,Submit button,Submit,சமர்ப்பிக்கவும்,Frontend,src/core/i18n/translations.ts
5,Common UI,Cancel button,Cancel,ரத்து செய்,Frontend,src/core/i18n/translations.ts
6,Common UI,Save button,Save,சேமி,Frontend,src/core/i18n/translations.ts
7,Common UI,Delete button,Delete,நீக்கு,Frontend,src/core/i18n/translations.ts
8,Common UI,Edit button,Edit,திருத்து,Frontend,src/core/i18n/translations.ts
9,Common UI,Close button,Close,மூடு,Frontend,src/core/i18n/translations.ts
10,Common UI,Back button,Back,பின்செல்,Frontend,src/core/i18n/translations.ts
11,Common UI,Next button,Next,அடுத்து,Frontend,src/core/i18n/translations.ts
12,Common UI,Finish button,Finish,முடி,Frontend,src/core/i18n/translations.ts
13,Common UI,Yes option,Yes,ஆம்,Frontend/Backend,src/core/i18n/translations.ts
14,Common UI,No option,No,இல்லை,Frontend/Backend,src/core/i18n/translations.ts
15,Common UI,Optional field,Optional,விருப்பமானது,Frontend,src/core/i18n/translations.ts
16,Common UI,Required field,Required,தேவையானது,Frontend,src/core/i18n/translations.ts
17,Common UI,Search placeholder,Search,தேடு,Frontend,src/core/i18n/translations.ts
18,Common UI,Filter button,Filter,வடிகட்டு,Frontend,src/core/i18n/translations.ts
19,Common UI,Clear button,Clear,அழி,Frontend,src/core/i18n/translations.ts
20,Common UI,Apply button,Apply,பயன்படுத்து,Frontend,src/core/i18n/translations.ts
21,Common UI,Reset button,Reset,மீட்டமை,Frontend,src/core/i18n/translations.ts
22,Navigation,Home link,Home,முகப்பு,Frontend,src/core/i18n/translations.ts
23,Navigation,Surveys link,Surveys,கணக்கெடுப்புகள்,Frontend,src/core/i18n/translations.ts
24,Navigation,Profile link,Profile,சுயவிவரம்,Frontend,src/core/i18n/translations.ts
25,Navigation,Settings link,Settings,அமைப்புகள்,Frontend,src/core/i18n/translations.ts
26,Navigation,Logout action,Logout,வெளியேறு,Frontend,src/core/i18n/translations.ts
